condition,rate,seed,step,acc_all,acc_no_attractor,acc_attractor,attractor_gap,mean_surprisal_correct_bits,n_all,n_attractor,n_no_attractor,checkpoint
baseline,0.0,1,500,0.6808113426509915,0.6921983489147668,0.5445026178010471,0.1476957311137197,8.253138413124613,19819,1528,18291,lstm_baseline_seed1_step500.pt
baseline,0.0,1,1000,0.7088147737020031,0.7226504838445137,0.5431937172774869,0.1794567665670268,7.779151040057561,19819,1528,18291,lstm_baseline_seed1_step1000.pt
baseline,0.0,1,1500,0.7410061052525354,0.7592258487780876,0.5229057591623036,0.236320089615784,7.176098470850173,19819,1528,18291,lstm_baseline_seed1_step1500.pt
baseline,0.0,1,2000,0.7827841969826934,0.8047127002350883,0.5202879581151832,0.2844247421199051,6.7874146917287845,19819,1528,18291,lstm_baseline_seed1_step2000.pt
baseline,0.0,1,2500,0.8291538422725667,0.851457000710732,0.56217277486911,0.28928422584162206,6.633603178969732,19819,1528,18291,lstm_baseline_seed1_step2500.pt
baseline,0.0,1,3000,0.8634643523891216,0.886337543053961,0.5896596858638743,0.29667785719008666,6.370713968627529,19819,1528,18291,lstm_baseline_seed1_step3000.pt
baseline,0.0,1,3500,0.8872798829406126,0.9079328631567437,0.6400523560209425,0.26788050713580125,6.138298441357845,19819,1528,18291,lstm_baseline_seed1_step3500.pt
baseline,0.0,1,4000,0.9155355971542459,0.931551036028648,0.7238219895287958,0.20772904649985213,5.996974206212422,19819,1528,18291,lstm_baseline_seed1_step4000.pt
baseline,0.0,1,4500,0.9350623139411676,0.947187141216992,0.7899214659685864,0.15726567524840562,6.038946218862783,19819,1528,18291,lstm_baseline_seed1_step4500.pt
baseline,0.0,1,5000,0.9397547807659317,0.951834235416325,0.7951570680628273,0.15667716735349768,5.891390258215978,19819,1528,18291,lstm_baseline_seed1_step5000.pt
baseline,0.0,1,5500,0.9457086634038044,0.9568093597944344,0.81282722513089,0.14398213466354437,5.865078014829812,19819,1528,18291,lstm_baseline_seed1_step5500.pt
baseline,0.0,1,6000,0.9493919975780817,0.9585041823847794,0.8403141361256544,0.11819004625912499,5.661775533128744,19819,1528,18291,lstm_baseline_seed1_step6000.pt
baseline,0.0,1,6500,0.9530248751198345,0.9612924389043792,0.8540575916230366,0.10723484728134258,5.701511220190681,19819,1528,18291,lstm_baseline_seed1_step6500.pt
baseline,0.0,1,7000,0.9591805842878046,0.9652288010496965,0.8867801047120419,0.07844869633765461,5.561391607909065,19819,1528,18291,lstm_baseline_seed1_step7000.pt
baseline,0.0,1,7500,0.9634189414198496,0.9695478650702531,0.8900523560209425,0.07949550904931069,5.54752866784802,19819,1528,18291,lstm_baseline_seed1_step7500.pt
baseline,0.0,1,8000,0.9600383470407186,0.9663769066754141,0.8841623036649214,0.08221460301049266,5.530152161265783,19819,1528,18291,lstm_baseline_seed1_step8000.pt
baseline,0.0,1,8500,0.963469398052374,0.9690558198020884,0.8965968586387435,0.07245896116334494,5.507979187136493,19819,1528,18291,lstm_baseline_seed1_step8500.pt
baseline,0.0,1,9000,0.9631666582572279,0.9691651631950139,0.8913612565445026,0.07780390665051129,5.58920860136175,19819,1528,18291,lstm_baseline_seed1_step9000.pt
baseline,0.0,1,9500,0.9652353801907261,0.9708053140888961,0.8985602094240838,0.07224510466481238,5.410427435995121,19819,1528,18291,lstm_baseline_seed1_step9500.pt
baseline,0.0,1,10000,0.9597860638780967,0.9655021595320102,0.8913612565445026,0.07414090298750764,5.484141036297671,19819,1528,18291,lstm_baseline_seed1_step10000.pt
baseline,0.0,1,10500,0.9664463393713103,0.9712973593570609,0.9083769633507853,0.06292039600627553,5.525024013760529,19819,1528,18291,lstm_baseline_seed1_step10500.pt
baseline,0.0,1,11000,0.9671527322266512,0.9714613744464491,0.9155759162303665,0.055885458216082595,5.455129558836639,19819,1528,18291,lstm_baseline_seed1_step11000.pt
baseline,0.0,1,11500,0.9664967960038348,0.9706959706959707,0.9162303664921466,0.05446560420382407,5.419199546534839,19819,1528,18291,lstm_baseline_seed1_step11500.pt
low,0.004,1,500,0.6807104293859427,0.6927450658793942,0.5366492146596858,0.15609585121970837,8.282272952062641,19819,1528,18291,lstm_low_seed1_step500.pt
low,0.004,1,1000,0.7110853221655987,0.7250560384888743,0.543848167539267,0.18120787094960733,7.73279190396561,19819,1528,18291,lstm_low_seed1_step1000.pt
low,0.004,1,1500,0.7442353297340936,0.7621234486906129,0.5301047120418848,0.23201873664872807,7.146060161619674,19819,1528,18291,lstm_low_seed1_step1500.pt
low,0.004,1,2000,0.7893940158433826,0.8116013339893937,0.5235602094240838,0.28804112456530995,6.824528811709663,19819,1528,18291,lstm_low_seed1_step2000.pt
low,0.004,1,2500,0.8361673141934507,0.8598764419659942,0.5523560209424084,0.3075204210235858,6.544541555088128,19819,1528,18291,lstm_low_seed1_step2500.pt
low,0.004,1,3000,0.8782481457187548,0.9016456180635285,0.5981675392670157,0.3034780787965128,6.288488392724643,19819,1528,18291,lstm_low_seed1_step3000.pt
low,0.004,1,3500,0.8997426711741259,0.9223661910229074,0.6289267015706806,0.29343948945222675,6.125041776108117,19819,1528,18291,lstm_low_seed1_step3500.pt
low,0.004,1,4000,0.9165951864372571,0.9351046962987262,0.6950261780104712,0.240078518288255,6.0051955579118035,19819,1528,18291,lstm_low_seed1_step4000.pt
low,0.004,1,4500,0.9373328624047631,0.9508501448799956,0.775523560209424,0.1753265846705716,6.034043737723405,19819,1528,18291,lstm_low_seed1_step4500.pt
low,0.004,1,5000,0.9347091175134972,0.9504674430047564,0.7460732984293194,0.20439414457543703,5.892761832902394,19819,1528,18291,lstm_low_seed1_step5000.pt
low,0.004,1,5500,0.9403098037236994,0.9530370127385053,0.7879581151832461,0.16507889755525917,5.831623208872559,19819,1528,18291,lstm_low_seed1_step5500.pt
low,0.004,1,6000,0.9519652858368233,0.9602536766715871,0.8527486910994765,0.10750498557211063,5.647668773633076,19819,1528,18291,lstm_low_seed1_step6000.pt
low,0.004,1,6500,0.9526716786921641,0.961948499261932,0.8416230366492147,0.12032546261271737,5.668909587739719,19819,1528,18291,lstm_low_seed1_step6500.pt
low,0.004,1,7000,0.9567082092941117,0.9646274123886064,0.8619109947643979,0.10271641762420847,5.551908631943111,19819,1528,18291,lstm_low_seed1_step7000.pt
low,0.004,1,7500,0.9597356072455724,0.966212891586026,0.8821989528795812,0.0840139387064448,5.570696810436337,19819,1528,18291,lstm_low_seed1_step7500.pt
low,0.004,1,8000,0.9597860638780967,0.966814280247116,0.8756544502617801,0.0911598299853359,5.521651169565797,19819,1528,18291,lstm_low_seed1_step8000.pt
low,0.004,1,8500,0.960694283263535,0.966814280247116,0.887434554973822,0.07937972527329407,5.543061397314558,19819,1528,18291,lstm_low_seed1_step8500.pt
low,0.004,1,9000,0.9628639184620819,0.9692745065879395,0.8861256544502618,0.08314885213767764,5.488116079176078,19819,1528,18291,lstm_low_seed1_step9000.pt
low,0.004,1,9500,0.9654876633533478,0.9710240008747472,0.8992146596858639,0.07180934118888327,5.470154866134558,19819,1528,18291,lstm_low_seed1_step9500.pt
low,0.004,1,10000,0.9620566123416923,0.9676890273905199,0.8946335078534031,0.07305551953711675,5.430226737459082,19819,1528,18291,lstm_low_seed1_step10000.pt
low,0.004,1,10500,0.9638730511125687,0.9699305669454923,0.8913612565445026,0.07856931040098969,5.4862614215778045,19819,1528,18291,lstm_low_seed1_step10500.pt
low,0.004,1,11000,0.9653867500882991,0.9703679405171942,0.9057591623036649,0.06460877821352928,5.504833452108218,19819,1528,18291,lstm_low_seed1_step11000.pt
low,0.004,1,11500,0.9658408597810182,0.9700945820348805,0.9149214659685864,0.05517311606629416,5.341086873431598,19819,1528,18291,lstm_low_seed1_step11500.pt
medium_low,0.02,1,500,0.6784398809223472,0.6901754961456454,0.5379581151832461,0.15221738096239934,8.280951954631691,19819,1528,18291,lstm_medium_low_seed1_step500.pt
medium_low,0.02,1,1000,0.7088652303345274,0.7227598272374391,0.5425392670157068,0.18022056022173238,7.787125026459831,19819,1528,18291,lstm_medium_low_seed1_step1000.pt
medium_low,0.02,1,1500,0.7427216307583632,0.7611940298507462,0.5215968586387435,0.23959717121200275,7.163943603161587,19819,1528,18291,lstm_medium_low_seed1_step1500.pt
medium_low,0.02,1,2000,0.7872748372773601,0.8099611830955115,0.5157068062827225,0.294254376812789,6.729331539706962,19819,1528,18291,lstm_medium_low_seed1_step2000.pt
medium_low,0.02,1,2500,0.8298602351279075,0.8537532119621671,0.543848167539267,0.3099050444229001,6.509705760956405,19819,1528,18291,lstm_medium_low_seed1_step2500.pt
medium_low,0.02,1,3000,0.8718401533881629,0.897107867257121,0.569371727748691,0.32773613950842995,6.3221470703788345,19819,1528,18291,lstm_medium_low_seed1_step3000.pt
medium_low,0.02,1,3500,0.9006004339270397,0.9244983871849544,0.6145287958115183,0.30996959137343605,6.102894744107847,19819,1528,18291,lstm_medium_low_seed1_step3500.pt
medium_low,0.02,1,4000,0.9124577425702609,0.9319884096003499,0.6786649214659686,0.2533234881343813,5.974589319325024,19819,1528,18291,lstm_medium_low_seed1_step4000.pt
medium_low,0.02,1,4500,0.9281497552853323,0.9447815865726313,0.7290575916230366,0.2157239949495947,6.04989511119585,19819,1528,18291,lstm_medium_low_seed1_step4500.pt
medium_low,0.02,1,5000,0.932791765477572,0.9483352468427095,0.7467277486910995,0.20160749815161005,5.927373170432018,19819,1528,18291,lstm_medium_low_seed1_step5000.pt
medium_low,0.02,1,5500,0.935718250163984,0.9509594882729211,0.7532722513089005,0.19768723696402057,5.870001900651233,19819,1528,18291,lstm_medium_low_seed1_step5500.pt
medium_low,0.02,1,6000,0.9453050103436097,0.9576841069378382,0.7971204188481675,0.1605636880896707,5.725159655840406,19819,1528,18291,lstm_medium_low_seed1_step6000.pt
medium_low,0.02,1,6500,0.9448509006508906,0.9568093597944344,0.8017015706806283,0.15510778911380607,5.668309623970196,19819,1528,18291,lstm_medium_low_seed1_step6500.pt
medium_low,0.02,1,7000,0.952217568999445,0.9615111256902301,0.8409685863874345,0.12054253930279557,5.605571834033953,19819,1528,18291,lstm_medium_low_seed1_step7000.pt
medium_low,0.02,1,7500,0.9543367475654675,0.9634793067628888,0.8448952879581152,0.11858401880477365,5.51593482987106,19819,1528,18291,lstm_medium_low_seed1_step7500.pt
medium_low,0.02,1,8000,0.9546899439931379,0.9635339784593516,0.8488219895287958,0.11471198893055579,5.557053943484264,19819,1528,18291,lstm_medium_low_seed1_step8000.pt
medium_low,0.02,1,8500,0.9574650587819769,0.9660488764966377,0.8547120418848168,0.11133683461182098,5.523104110386588,19819,1528,18291,lstm_medium_low_seed1_step8500.pt
medium_low,0.02,1,9000,0.9574146021494525,0.9660488764966377,0.8540575916230366,0.1119912848736011,5.5496969435340775,19819,1528,18291,lstm_medium_low_seed1_step9000.pt
medium_low,0.02,1,9500,0.9579696251072204,0.9656115029249358,0.8664921465968587,0.09911935632807711,5.478162313387422,19819,1528,18291,lstm_medium_low_seed1_step9500.pt
medium_low,0.02,1,10000,0.95645592613149,0.9646274123886064,0.8586387434554974,0.10598866893310899,5.466027874264465,19819,1528,18291,lstm_medium_low_seed1_step10000.pt
medium_low,0.02,1,10500,0.9620566123416923,0.9700399103384179,0.8664921465968587,0.10354776374155916,5.507342989629271,19819,1528,18291,lstm_medium_low_seed1_step10500.pt
medium_low,0.02,1,11000,0.9622079822392654,0.9691651631950139,0.8789267015706806,0.09023846162433324,5.530789264510705,19819,1528,18291,lstm_medium_low_seed1_step11000.pt
medium_low,0.02,1,11500,0.9651344669256774,0.9704772839101198,0.9011780104712042,0.06929927343891562,5.343695028896292,19819,1528,18291,lstm_medium_low_seed1_step11500.pt
medium_high,0.1,1,500,0.6751097431757405,0.6862938056967908,0.5412303664921466,0.14506343920464415,8.257083844868523,19819,1528,18291,lstm_medium_high_seed1_step500.pt
medium_high,0.1,1,1000,0.6954437660830516,0.7083264993712755,0.5412303664921466,0.16709613287912883,7.71741126236045,19819,1528,18291,lstm_medium_high_seed1_step1000.pt
medium_high,0.1,1,1500,0.7229930874413442,0.7388333059974851,0.5333769633507853,0.20545634264669976,7.167477563154843,19819,1528,18291,lstm_medium_high_seed1_step1500.pt
medium_high,0.1,1,2000,0.7570513143952773,0.7765567765567766,0.5235602094240838,0.2529965671326928,6.791548648921186,19819,1528,18291,lstm_medium_high_seed1_step2000.pt
medium_high,0.1,1,2500,0.7954992683788285,0.8184352960472363,0.5209424083769634,0.29749288767027293,6.664556034734347,19819,1528,18291,lstm_medium_high_seed1_step2500.pt
medium_high,0.1,1,3000,0.8403552146929714,0.867311792684927,0.5176701570680629,0.3496416356168641,6.402636838800062,19819,1528,18291,lstm_medium_high_seed1_step3000.pt
medium_high,0.1,1,3500,0.856955446793481,0.8828385544803455,0.5471204188481675,0.335718135632178,6.260535686113216,19819,1528,18291,lstm_medium_high_seed1_step3500.pt
medium_high,0.1,1,4000,0.8810737171401181,0.9055819802088458,0.587696335078534,0.3178856451303118,6.141264097259602,19819,1528,18291,lstm_medium_high_seed1_step4000.pt
medium_high,0.1,1,4500,0.8999444977042232,0.9206166967360997,0.6524869109947644,0.2681297857413353,6.184090462155071,19819,1528,18291,lstm_medium_high_seed1_step4500.pt
medium_high,0.1,1,5000,0.9122559160401634,0.9320977529932754,0.6747382198952879,0.2573595330979874,6.039991565308805,19819,1528,18291,lstm_medium_high_seed1_step5000.pt
medium_high,0.1,1,5500,0.9206317170392048,0.9381116396041769,0.7113874345549738,0.2267242050492031,5.986675087330129,19819,1528,18291,lstm_medium_high_seed1_step5500.pt
medium_high,0.1,1,6000,0.9248700741712498,0.9401344923732984,0.7421465968586387,0.19798789551465967,5.861056065334849,19819,1528,18291,lstm_medium_high_seed1_step6000.pt
medium_high,0.1,1,6500,0.9306725869115495,0.9439615111256903,0.7715968586387435,0.17236465248694677,5.812507492269751,19819,1528,18291,lstm_medium_high_seed1_step6500.pt
medium_high,0.1,1,7000,0.9328422221100964,0.9453283035372587,0.7833769633507853,0.1619513401864734,5.762028415871907,19819,1528,18291,lstm_medium_high_seed1_step7000.pt
medium_high,0.1,1,7500,0.9377365154649578,0.9493193373790388,0.7990837696335078,0.15023556774553104,5.7564852658514285,19819,1528,18291,lstm_medium_high_seed1_step7500.pt
medium_high,0.1,1,8000,0.9390483879105909,0.9506314580941446,0.800392670157068,0.15023878793707657,5.758847599604574,19819,1528,18291,lstm_medium_high_seed1_step8000.pt
medium_high,0.1,1,8500,0.9405620868863213,0.951834235416325,0.805628272251309,0.146205963165016,5.729723531199466,19819,1528,18291,lstm_medium_high_seed1_step8500.pt
medium_high,0.1,1,9000,0.9432362884101115,0.9541851183642228,0.81217277486911,0.14201234349511282,5.769020058797062,19819,1528,18291,lstm_medium_high_seed1_step9000.pt
medium_high,0.1,1,9500,0.9451536404460367,0.954349133453611,0.8350785340314136,0.11927059942219742,5.636072595061223,19819,1528,18291,lstm_medium_high_seed1_step9500.pt
medium_high,0.1,1,10000,0.9421766991271002,0.9522716089880269,0.8213350785340314,0.13093653045399545,5.638673423675525,19819,1528,18291,lstm_medium_high_seed1_step10000.pt
medium_high,0.1,1,10500,0.9459104899339018,0.9557159258651796,0.8285340314136126,0.12718189445156702,5.726310522058983,19819,1528,18291,lstm_medium_high_seed1_step10500.pt
medium_high,0.1,1,11000,0.9476260154397296,0.9559346126510305,0.8481675392670157,0.10776707338401481,5.683210914997628,19819,1528,18291,lstm_medium_high_seed1_step11000.pt
medium_high,0.1,1,11500,0.9489883445178868,0.9571920616696736,0.8507853403141361,0.10640672135553753,5.565496074251343,19819,1528,18291,lstm_medium_high_seed1_step11500.pt
high,0.5,1,500,0.604924567334376,0.6159313323492428,0.4731675392670157,0.1427637930822271,8.381934010024226,19819,1528,18291,lstm_high_seed1_step500.pt
high,0.5,1,1000,0.6231898683081891,0.6321141545022142,0.5163612565445026,0.1157528979577116,7.843036765657385,19819,1528,18291,lstm_high_seed1_step1000.pt
high,0.5,1,1500,0.6404460366315152,0.6492263954950522,0.5353403141361257,0.11388608135892653,7.398665648911127,19819,1528,18291,lstm_high_seed1_step1500.pt
high,0.5,1,2000,0.5427619960643827,0.5490678475753102,0.46727748691099474,0.0817903606643155,7.03473279688897,19819,1528,18291,lstm_high_seed1_step2000.pt
high,0.5,1,2500,0.6146626974115748,0.624132086818654,0.5013089005235603,0.1228231862950937,6.997348838547785,19819,1528,18291,lstm_high_seed1_step2500.pt
high,0.5,1,3000,0.6499318835460921,0.6643157837187688,0.47774869109947643,0.18656709261929233,6.830237868402253,19819,1528,18291,lstm_high_seed1_step3000.pt
high,0.5,1,3500,0.6555830263888188,0.6700563118473566,0.48232984293193715,0.18772646891541944,6.836224625702037,19819,1528,18291,lstm_high_seed1_step3500.pt
high,0.5,1,4000,0.6827791513194409,0.7002897599912525,0.4731675392670157,0.22712222072423682,6.656169230686366,19819,1528,18291,lstm_high_seed1_step4000.pt
high,0.5,1,4500,0.6146626974115748,0.6259362528019244,0.47971204188481675,0.1462242109171077,6.828833511685924,19819,1528,18291,lstm_high_seed1_step4500.pt
high,0.5,1,5000,0.6829809778495384,0.7009458203488054,0.46793193717277487,0.2330138831760305,6.630833646040327,19819,1528,18291,lstm_high_seed1_step5000.pt
high,0.5,1,5500,0.6667843988092235,0.6837242359630419,0.4640052356020942,0.21971900036094766,6.632038155735988,19819,1528,18291,lstm_high_seed1_step5500.pt
high,0.5,1,6000,0.6093142943639942,0.6151659285987644,0.5392670157068062,0.07589891289195816,6.501210217931349,19819,1528,18291,lstm_high_seed1_step6000.pt
high,0.5,1,6500,0.697108834956355,0.7113334426767263,0.5268324607329843,0.18450098194374198,6.445569931233152,19819,1528,18291,lstm_high_seed1_step6500.pt
high,0.5,1,7000,0.6954942227155759,0.7104040238368596,0.5170157068062827,0.1933883170305769,6.392259883068287,19819,1528,18291,lstm_high_seed1_step7000.pt
high,0.5,1,7500,0.7090166002321006,0.7277349516155486,0.4849476439790576,0.24278730763649098,6.374745868391403,19819,1528,18291,lstm_high_seed1_step7500.pt
high,0.5,1,8000,0.626822745849942,0.6375266524520256,0.4986910994764398,0.13883555297558575,6.3684639006737935,19819,1528,18291,lstm_high_seed1_step8000.pt
high,0.5,1,8500,0.7030627175942278,0.7194795254496748,0.506544502617801,0.2129350228318737,6.338910872415667,19819,1528,18291,lstm_high_seed1_step8500.pt
high,0.5,1,9000,0.7025581512689844,0.7210103329506314,0.4816753926701571,0.23933494028047436,6.355767731807802,19819,1528,18291,lstm_high_seed1_step9000.pt
high,0.5,1,9500,0.7119430849185125,0.7277896233120114,0.5222513089005235,0.20553831441148784,6.311065152376681,19819,1528,18291,lstm_high_seed1_step9500.pt
high,0.5,1,10000,0.7103789293102578,0.7302498496528347,0.4725130890052356,0.2577367606475991,6.302858480589514,19819,1528,18291,lstm_high_seed1_step10000.pt
high,0.5,1,10500,0.7034663706544225,0.719424853753212,0.512434554973822,0.20699029877939001,6.37797252459442,19819,1528,18291,lstm_high_seed1_step10500.pt
high,0.5,1,11000,0.7268782481457188,0.7455032529659396,0.5039267015706806,0.2415765513952589,6.332825294988063,19819,1528,18291,lstm_high_seed1_step11000.pt
high,0.5,1,11500,0.6931227609869317,0.7083264993712755,0.5111256544502618,0.19720084492101364,6.225290060001547,19819,1528,18291,lstm_high_seed1_step11500.pt
